"date","TEMP","PP","HUM","DIR_V","VEL_V"
2020-01-01 00:00:00,20.9,0,87,314,0.3
2020-01-01 01:00:00,20.8,0,88,218,2.5
2020-01-01 02:00:00,20.8,0,88,214,2.3
2020-01-01 03:00:00,20.4,0,90,209,2.7
2020-01-01 04:00:00,20.7,0,90,254,0.6
2020-01-01 05:00:00,20.3,0,90,261,0.8
2020-01-01 06:00:00,20.4,0,90,227,1
2020-01-01 07:00:00,20.7,0,89,216,2.6
2020-01-01 08:00:00,20.9,0,88,214,2.5
2020-01-01 09:00:00,21.2,0,86,216,3
2020-01-01 10:00:00,21.7,0,83,214,3.1
2020-01-01 11:00:00,23.6,0,77,217,2.6
2020-01-01 12:00:00,25,0,70,212,4.3
2020-01-01 13:00:00,24.5,0,71,212,4.3
2020-01-01 14:00:00,23.9,0,72,216,4.1
2020-01-01 15:00:00,23.9,0,74,216,4.3
2020-01-01 16:00:00,23.9,0,73,219,4.2
2020-01-01 17:00:00,23.9,0,72,212,4.7
2020-01-01 18:00:00,22.8,0,76,218,3.7
2020-01-01 19:00:00,22.1,0,80,221,2.5
2020-01-01 20:00:00,21.5,0,84,273,1.2
2020-01-01 21:00:00,21.2,0,86,264,1.3
2020-01-01 22:00:00,21.4,0,85,215,2.3
2020-01-01 23:00:00,20.9,0,87,257,1.2
2020-01-02 00:00:00,21,0,89,231,1.9
2020-01-02 01:00:00,20.7,0,89,220,3
2020-01-02 02:00:00,20.7,0,89,225,2
2020-01-02 03:00:00,20.7,0,89,238,0.7
2020-01-02 04:00:00,20.3,0,89,213,2.8
2020-01-02 05:00:00,19.9,0,92,210,1.8
2020-01-02 06:00:00,19.9,0,93,212,1.9
2020-01-02 07:00:00,19.9,0,93,211,1.9
2020-01-02 08:00:00,20.1,0,91,224,1.5
2020-01-02 09:00:00,21.5,0,86,107,0.8
2020-01-02 10:00:00,22,0,80,217,3.5
2020-01-02 11:00:00,23.3,0,76,210,4.3
2020-01-02 12:00:00,24.4,0,74,217,3
2020-01-02 13:00:00,25.1,0,68,214,4
2020-01-02 14:00:00,25.1,0,68,212,5
2020-01-02 15:00:00,25.1,0,68,214,4.2
2020-01-02 16:00:00,24.9,0,66,220,4.1
2020-01-02 17:00:00,24.7,0,69,212,3.4
2020-01-02 18:00:00,23.4,0,74,213,3
2020-01-02 19:00:00,23.4,0,74,216,2.9
2020-01-02 20:00:00,23,0,76,213,2.5
2020-01-02 21:00:00,23.1,0,73,226,1.6
2020-01-02 22:00:00,22.4,0,78,229,1.8
2020-01-02 23:00:00,21.6,0,84,228,1.5
2020-01-03 00:00:00,21.3,0,84,227,2.5
2020-01-03 01:00:00,21,0,83,234,1.4
2020-01-03 02:00:00,20.9,0,85,224,2.1
2020-01-03 03:00:00,20.7,0,86,239,1.4
2020-01-03 04:00:00,20.4,0,87,232,0.7
2020-01-03 05:00:00,20.4,0,88,223,2
2020-01-03 06:00:00,20.4,0,88,244,1.2
2020-01-03 07:00:00,20.6,0,88,245,1.4
2020-01-03 08:00:00,21.5,0,84,212,3.9
2020-01-03 09:00:00,22.3,0,80,213,3.9
2020-01-03 10:00:00,23.9,0,73,226,3.5
2020-01-03 11:00:00,23.7,0,74,210,5.7
2020-01-03 12:00:00,24.1,0,70,215,5.2
2020-01-03 13:00:00,24.6,0,69,218,5.1
2020-01-03 14:00:00,24.6,0,68,216,5.6
