Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:CAMPODEMARTE
,Departamento:LIMA,Provincia:LIMA,Distrito:JESUS,MARIA
,Latitud:12Â°4'14.03'',Longitud:77Â°2'35.3'',Altitud:117,msnm.
,Tipo:EMA,-Meteorológica,Código:112181
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/06/01,00:00,18.1,0.0,84,244,0.6
2020/06/01,01:00,17.8,0.0,85,216,1.2
2020/06/01,02:00,17.3,0.0,89,211,2.1
2020/06/01,03:00,17.2,0.0,91,212,1.6
2020/06/01,04:00,17.3,0.0,91,208,2.0
2020/06/01,05:00,17.2,0.0,90,209,1.4
2020/06/01,06:00,17.2,0.0,90,209,0.9
2020/06/01,07:00,17.3,0.0,91,217,1.2
2020/06/01,08:00,17.5,0.0,89,209,1.2
2020/06/01,09:00,17.8,0.0,88,212,1.9
2020/06/01,10:00,17.6,0.0,89,212,1.8
2020/06/01,11:00,18.5,0.0,85,235,1.2
2020/06/01,12:00,19.8,0.0,79,241,1.0
2020/06/01,13:00,20.7,0.0,77,213,2.3
2020/06/01,14:00,19.8,0.0,79,196,3.2
2020/06/01,15:00,20.5,0.0,77,211,2.5
2020/06/01,16:00,18.9,0.0,83,207,3.7
2020/06/01,17:00,17.8,0.0,88,210,2.4
2020/06/01,18:00,17.5,0.0,90,208,2.6
2020/06/01,19:00,17.4,0.0,91,222,0.9
2020/06/01,20:00,17.5,0.0,90,227,1.5
2020/06/01,21:00,17.4,0.0,90,201,2.1
2020/06/01,22:00,17.5,0.0,90,192,1.0
2020/06/01,23:00,17.4,0.0,90,192,2.0
2020/06/02,00:00,17.3,0.0,91,268,0.4
2020/06/02,01:00,17.5,0.0,90,185,0.9
2020/06/02,02:00,17.3,0.0,90,342,0.7
2020/06/02,03:00,17.4,0.0,90,350,0.5
2020/06/02,04:00,17.0,0.0,92,27,0.3
2020/06/02,05:00,16.9,0.0,92,321,0.8
2020/06/02,06:00,16.7,0.0,92,271,1.6
2020/06/02,07:00,16.5,0.0,94,213,0.7
2020/06/02,08:00,16.5,0.0,94,15,0.7
2020/06/02,09:00,16.7,0.0,94,280,1.2
2020/06/02,10:00,16.8,0.0,93,261,1.6
2020/06/02,11:00,17.7,0.0,87,162,0.9
2020/06/02,12:00,18.6,0.0,81,337,0.8
2020/06/02,13:00,19.8,0.0,78,254,1.3
2020/06/02,14:00,19.1,0.0,82,231,2.1
2020/06/02,15:00,19.0,0.0,81,274,1.9
